"Don’t show this popup again","No mostrar este popup otravez"
"Search...","Buscar..."
"Bag:","Bolsa:"
"Quickview","Vista Rápida"
"email address...","dirección de correo electrónico..."
"Sign Up & Save","Subscribirse"
"Available Options","Opciones"
"New Product","Nuevo Producto"
"View cart","Ver carrito"
"LOGIN HERE","INGRESE AQUI"
"Name & Address","Nombre & Dirección"
"Create an account for later use","Crear una cuenta para su uso posterior"
"Review Your Order","Revise Su Orden"
"Fill in the Fields below to complete your purchase!","Rellena los campos siguientes para completar su compra!"
"Enter your coupon code if you have one.","Ingrese su código de descuento si usted tiene uno."
"Enter your coupon code:","Ingrese su código de descuento:"
"There are no recurring profiles yet.","No existen perfiles recurrentes todavía."