" The customer doesn't exist in the system anymore"," العميل غير موجود في النظام بعد الان"
"""%s"" coupon code is not valid.","""%s"" كود الكوبون غير صحيح."
"%s order(s) succesfully released from holding status","%s من اجل بنجاح اطلاق سراحهم من عقد المركز"
"%s order(s) successfully put on hold","%s تم وضع الامر في الامساك بنجاح"
"%s order(s) succesfully canceled","%s تم الغاء الامر بنجاح"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Requires Tax Based On Shipping Origin</span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>"
"Add Product","Add Product"
"Apply Tax after Discount","Apply Tax after Discount"
"Can not add new comment.","Can not add new comment."
"Can not add tracking number.","Can not add tracking number."
"Can not delete tracking number.","Can not delete tracking number."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save credit memo","Can not save credit memo"
"Can not save invoice","Can not save invoice"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Can not send shipment information."
"Can not update item qty","Can not update item qty"
"Comment text field can not be empty.","Comment text field can not be empty."
"Credit Memo cancel error.","Credit Memo cancel error."
"Credit Memo total must be positive.","Credit Memo total must be positive."
"Credit Memo void error","Credit Memo void error"
"Credit Memo was successfully canceled.","Credit Memo was successfully canceled."
"Credit Memo was successfully created","Credit Memo was successfully created"
"Credit Memo was successfully voided","Credit Memo was successfully voided"
"Creditmemo","Creditmemo"
"Creditmemos","Creditmemos"
"First Name","First Name"
"G.T. (Base)","G.T. (قاعدة)"
"G.T. (Purchased)","G.T. (اشتري)"
"Invoice and shipment was successfully created.","Invoice and shipment was successfully created."
"Invoice cancel error.","Invoice cancel error."
"Invoice capture error","Invoice capture error"
"Invoice void error","Invoice void error"
"Invoice was successfully canceled.","Invoice was successfully canceled."
"Invoice was successfully captured","Invoice was successfully captured"
"Invoice was successfully created.","Invoice was successfully created."
"Invoice was successfully voided","Invoice was successfully voided"
"Item Status","Item Status"
"Last Name","Last Name"
"Not Notified","Not Notified"
"Notified","Notified"
"Order # %s | Order Date %s","Order # %s | Order Date %s"
"Order not longer exist","Order not longer exist"
"Order not longer exist.","Order not longer exist."
"Order Update (Credit Memo)","Order Update (Credit Memo)"
"Order Update (Invoice)","Order Update (Invoice)"
"Order Update (Shipment)","Order Update (Shipment)"
"Orders was canceled","Orders was canceled"
"Orders was successfully put on hold","Orders was successfully put on hold"
"Orders was unholded","Orders was unholded"
"Original Price","Original Price"
"PDF Invoices","PDF فواتير"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"PDF Packingslips","PDF زلة تعبئة"
"Qty","Qty"
"QTY","QTY"
"Qty Canceled","Qty Canceled"
"Qty Invoiced","Qty فاتورة"
"Qty to Invoice","Qty للفاتورة"
"Qty To Add","Qty للاضافة"
"Invalid qty to invoice item ""%s""","Qty الفاتوره غير صالحة لهذا البند ""%s"""
"Invalid qty to ship for item ""%s""","Qty الى السفينة غير صالحة للالبند ""%s"""
"Qty Ordered","Qty امر"
"Qty Shipped","Qty شحنه"
"Invalid qty to refund item ""%s""","Qty غير صالحة لاعادة البند ""%s"""
"Ship to First name","Ship to First name"
"Shipment was successfully created.","Shipment was successfully created."
"Shipment was successfully sent.","Shipment was successfully sent."
"Sku","Sku"
"SKU","SKU"
"Tax Based On","Tax Based On"
"Tax Calculation","Tax Calculation"
"Tax Class for Shipping","Tax Class for Shipping"
"Tracking number can not be empty.","Tracking number can not be empty."
"Invoices","فواتير"
"Invoice email not sent","فاتوره لم ترسل البريد الألكتروني"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoiced","فاتورة"
"Invoice","فاتورة"
"Invoice # ","فاتورة # "
"Invoice #","فاتورة #"
"Invoice #%s","فاتورة #%s"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Items Invoiced","فاتورة العناصر"
"Bill to Name","فاتورة بالاسم"
"Bill to Last name","فاتورة بالاسم الاخير"
"Bill to First name","فاتورة بالسم الاول"
"New Invoice","فاتورة جديدة"
"New Invoice for Guest","فاتورة جديدة لزائر"
"Action","فعل"
"Hold action is not available","فعل الامساك ليس مسموح"
"separate by "",""","فصل بواسطة"","""
"Coupons","كوبونات"
"Discount Amount","كمية الخصم"
"Refund Amount","كمية الرد"
"Shipping Amount","كمية الشحن"
"Tax Amount","كمية الضريبة"
"State/Province","ولاية/مقاطعة"
"Custom Value","قيمة مخصصة"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Wishlist","قائمة الأمنيات"
"Order was not unholded.","لم يتم وضع الامر في الامساك."
"Order was not put on hold.","لم يتم وضع الامر في الامساك."
"Order was not cancelled.","لم يتم إلغاء طلب الشراء."
"No items","لا يوجد سلع"
"No Payment Methods","لا يوجد طرق للدفع"
"Can not register existing shipment","لا يمكن التسجيل في الشحنع الموجوده"
"Can not register existing invoice","لا يمكن التسجيل للفاتورة الموجوده"
"Can't get order instance","لا يمكن ان تحصل من اجل المثال"
"Can not create block ""%s""","لا يمكن انشاء مساحة ""%s"""
"Can not add order history.","لا يمكن اضافة تاريخ الامر."
"Can not register existing creditmemo","لا يمكن تسجيل الإئتمان القائمة المذكره"
"Can not do shipment for order.","لا يمكن شحن الامر."
"There are no printable documents related to selected orders","لا توجد للطباعة الوثائق ذات الصلة اوامر مختارة"
"No detail for number ""%s""","لا توجد تفاصيل للرقم""%s"""
"SOLD TO:","لبيع:"
"Email Copy of Invoice","نسخة البريد الالكتروني للفاتورة"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Comment Text","نص التعليق"
"Are you sure you want to cancel this order?","هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟"
"Are you sure?","هل أنت متأكد؟"
"Are you sure? This order will be cancelled and a new one will be created instead","هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه"
"Gift","هدية"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Order Comments","ملاحظات الامر"
"Shipment Comments","ملاحظات الشحنة"
"Order Comment","ملاحظة الامر"
"From","من"
"Please select products to add","من فضلك اختر منتجات لإضافتها"
"Please select a store","من فضلك اختر متجرا"
"Please select a customer","من فضلك اختر عميلا"
"From Name","من الاسم"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"From:","من:"
"Track this shipment","متابعة هذه الشحنه"
"Track Order","متابعة الامر"
"Track all shipments","متابعة جميع الشحنات"
"Track all shipment(s)","متابعة جميع الشحنات(s)"
"Track your order","متابعة طلبك"
"Same As Billing Address","مثل عنوان الفاتورة"
"Total Qty","مجموع Qty"
"Total Paid","مجموع المدفوعات"
"Total Refund","مجموع الرد"
"Total Refunded","مجموع الردود"
"Row Total","مجموع الصف"
"Total(ex)","مجموع(ex)"
"Total(inc)","مجموع(inc)"
"Customer Group","مجموعة العملاء"
"Mixed","مختلط"
"Paid","مدفوع"
"Credit Memo","مذكرة الائتمان"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo #","مذكرة الائتمان #"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo email sent","مذكرة الائتمان ارسال البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"New Credit Memo","مذكرة ائتمانية جديدة"
"New Credit Memo for Guest","مذكرة ائتمانية جديدة للزائر"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Document","مستند"
"Pending","معلقة"
"Processing data problem","معالجة مشكلة البيانات"
"Closed","مغلق"
"Void","Void"
"You need specify carrier.","You need specify carrier."
"Adjustment Fee","أجر الضبط"
"Adjustment Fee:","أجر الضبط:"
"To","إلى"
"To Name","إلى اسم"
"To:","إلى:"
"Cancel","إلغاء"
"Create","إنشاء"
"Create Shipment","إنشاء شحن"
"Create New Order","إنشاء طلب شراء جديد"
"Create New Order for %s","إنشاء طلب شراء جديد لـ %s"
"Create New Order for %s in %s","إنشاء طلب شراء جديد لـ %s في %s"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Create New Order for New Customer in %s","إنشاء طلب شراء جديد لعميل جديد في %s"
"Create New Customer","إنشاء عميل جديد"
"Submit Invoice","إرسال فاتورة"
"Send Tracking Information","إرسال بيانات التعقب"
"Submit Comment","إرسال تعليق"
"Submit Order","إرسال طلب الشراء"
"Remove","إزالة"
"Remove Coupon Code","إزالة كود الكوبون"
"Add","إضافة"
"Add to Cart","إضافة إلى عربة التسوق"
"Add Tracking Number","إضافة رقم تعقب"
"Add New Address","إضافة عنوان جديد"
"Notify Customer","إعلام العميل"
"Actions","افعال"
"Orders","اوامر"
"Items Ordered","اوامر العناصر"
"My Orders","اوامري"
"My Orders - Details","اوامري- تفاصيل"
"Amount","الكمية"
"Paid Amount","الكمية المدفوعة"
"Carrier","الناقل"
"New Order Confirmation Email Sender","النظام الجديد تأكيد البريد الألكتروني المرسل"
"Telephone","الهاتف"
"Website","الموقع"
"Product","المنتج"
"Products","المنتجات"
"Products in Compare List","المنتجات في قائمة المقارنة"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Sales","المبيعات"
"Grand Total","المجموع الكلي"
"Grand Total to be charged","المجموع الكلي التي ستحمل "
"Grand Total:","المجموع الكلي:"
"Subtotal","المجموع الاصلي"
"Store Credit","المخزن الائتماني"
"Credit Memos","المذكرة الائتمانية"
"Recently Viewed","المشاهد حديثا"
"Processing","المعالجة"
"Recent Orders","الاوامر الحالية"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Item qty declare error","البند qty يعلن خطأ"
"Email","البريد الإلكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Order Comment Email Template","البريد الالكتروني للقالب في البريد الالكتروني"
"Credit Memo email not sent","البريد الالكتروني للمذكرة الائتمانية لم ترسل"
"Sales Emails","البريد الالكتروني للبيع"
"Order Comment Email Sender","البريد الالكتروني المرسل من اجل التعليق"
"Signed Up From","التوقيع من"
"Date","التاريخ"
"Shipment Comment Email Template","التعليق قالب شحن البريد الالكتروني"
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Shipment Comment Email Sender","التعليق شحن البريد الالكتروني للمرسل"
"Shipment Comment Email Template for Guest","التعليق شحن البريد الالكتروني نموذج للضيف"
"Status","الحالة"
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"Checkout totals sort order","الخروج المجاميع الترتيب"
"Country","الدولة"
"ZIP/Post Code","الرقم البريدي"
"ID","الرمز التعريفي"
"Back to My Orders","الرجوع الى اوامري"
"Allow Reorder","السماح باعادة الامر"
"Price","السعر"
"Shipping &amp; Handling Information","الشحن &amp; معلومات التسليم"
"Shipping &amp; Handling","الشحن &amp; التسليم"
"Shipping & Handling","الشحن و التسليم"
"Shipping & Handling:","الشحن و التسليم:"
"Tax","الضريبة"
"Tax :","الضريبة :"
"Title","العنوان"
"The item %s (SKU %s) doesn't exist in the catalog anymore","العنصر %s (SKU %s) لا وجود بعد الآن في الكاتالوج"
"You have placed no orders.","انت لم تضع اي اوامر."
"Created At","انشئت في "
"Reorder","امر"
"Order Total","امر المجموع"
"Order Subtotal","امر المجموع الفرعي"
"Order Subtotal:","امر المجموع الفرعي:"
"Order Grand Total","امر المجموع الكلي"
"Order Totals","امر المجموعات"
"Order History","امر التاريخ"
"Order Date","امر التاريخ"
"Order Date: ","امر التاريخ: "
"Order Date: %s","امر التاريخ: %s"
"Order Currency:","امر العملة:"
"Email Order Confirmation","امر تاكيد البريد الالكتروني"
"Order Comment Email Template for Guest","امر تعليق قالب البريد الالكتروني للزائر"
"New Order RSS","امر جديد RSS"
"New Order for Guest","امر جديد للزائر"
"Order saving error: %s","امر حفظ الخطاء: %s"
"Ordered","امرت"
"On Hold","امساك"
"Hold","امساك"
"Select from existing customer addresses:","اختر من القائمة عناوين العملاء:"
"Last ordered items","اخر اوامر العناصر"
"Append Comments","ارفاق التعليقات"
"Tracking Number(s)","ارقام المتابعة"
"Invoice email sent","ارسلت فاتورة البريد الالكتروني"
"Send Invoice Email Copy To","ارسال نسخة فاتورة بالبريد الالكتروني الى"
"Send Credit Memo Comment Email Copy To","ارسال نسخة ملاحظة مذكرة ائتمانية للبريد الالكتروني "
"Send Shipment Email Copy To","ارسال نسخة الى شحن البريد الالكتروني"
"Send Order Email Copy To","ارسال نسخة امر بالبريد الالكتروني الى"
"Send Invoice Comment Email Copy To","ارسال الفاتوره الى التعليق على نسخة البريد الالكتروني"
"Submit Credit Memo","ارسال المذكرة الائتمانية"
"Submit Shipment","ارسال الشحنه"
"Send Credit Memo Email Copy To","ارسال بريد الكتروني الائتمان المذكره نسخة إلي"
"Send Shipment Comment Email Copy To","ارسال شحنة التعليق على نسخة البريد الالكتروني"
"Product Name","اسم المنتج"
"Customer Name","اسم العميل"
"Items Refunded","استرداد البنود"
"Capture","اسر"
"Capture Amount","اسر الكمية"
"Capture Offline","اسر خارج الشبكة"
"Capture Online","اسر داخل الشبكة"
"Add Order Comments","اضف ملاحظة الامر"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الامر"
"Add To Order","اضف الى الامر"
"Add a gift message for <strong>each gift item</strong>","اضف رسالة هدية لل  <strong>لاي عنصر هدية</strong>"
"Add a gift message for the <strong>entire order</strong>","اضف رسالة الهدية الى ال  <strong>الامر الكامل</strong>"
"Edit Order #%s","اضافة امر #%s"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Returned","اعادة"
"Adjustment Refund","اعادة التكيف"
"Adjustment Refund:","اعادة التكيف:"
"Information","بيانات"
"Account Information","بيانات الحساب"
"Payment Information","بيانات الدفع"
"Shipping Information","بيانات الشحن"
"Order Information","بيانات طلب الشراء"
"Total Due","بسبب المجموع"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","بعض الاصناف بكميات تتجاوز الكميات المسموح. الرجاء تحديد الكميه الى اقل الخروج."
"Order Details","تفاصيل طلب الشراء"
"Complete","تكملة"
"Order was successfully put on hold.","تم وضع الامر في الامساك بنجاح."
"Order was placed using %s","تم وضع الامر باستخدام %s"
"Order was successfully cancelled.","تم إلغاء طلب الشراء بنجاح."
"Canceled","تم الإلغاء"
"Refunded","تم الرد"
"Shipped","تم الشحن"
"Shipped By","تم الشحن بواسطة"
"Shipment email sent","تم ارسال البريد الالكتروني للشحنه "
"Order was successfully released from holding status.","تم بنجاح من اجل اطلاق سراحهم من عقد المركز."
"New Order Confirmation Template","تأكيد نموذج النظام الجديد"
"New Order Confirmation Template for Guest","تأكيد نموذج النظام الجديد للضيف"
"Invoice Date","تاريخ الفاتورة"
"Comments History","تاريخ التعليقات"
"Date Shipped","تاريخ الشحن"
"Refresh","تحديث"
"Update Qty's","تحديث Qty's"
"Invoice Update","تحديث الفاتورة"
"Invoice Update for Guest","تحديث الفاتورة للزائر"
"Credit Memo Update","تحديث المذكرة الائتمانية"
"Credit Memo Update for Guest","تحديث المذكرة الائتمانية للضيف"
"Update Changes","تحديث التغييرات"
"Shipment Update","تحديث الشحنه"
"Shipment Update for Guest","تحديث الشحنه للزائر"
"Order Update","تحديث طلب الشراء"
"Order Update for Guest","تحديث طلب الشراء لزائر"
"Edit","تحرير"
"Purchased On","تشتري على"
"Shipping","تشحن"
"Apply","تطبيق"
"Apply Coupon Code","تطبيق كود الكوبون"
"Comment","تعليق"
"Invoice Comments","تعليقات الفاتورة"
"Change Status","تغيير الحالة"
"New","جديد"
"Partial","جزئي"
"Save in address book","حفظ في دفتر العناوين"
"New Status","حالة جديدة"
"Order Status","حالة طلب الشراء"
"Unknown Status","حالة غير معروفة"
"Delete","حذف"
"Discount","خصم"
"Discount ","خصم "
"Discount (%s)","خصم (%s)"
"Discount :","خصم :"
"Unknown State","دول غير معروفة"
"Catalog prices include tax","دليل الاسعار تشمل الضرائب"
"Number","رقم"
"Tracking Number","رقم التعقب"
"Link to the previous order","رابطة للامر القديم"
"Link to the new order","رابطة للامر الجديد"
"Backordered","رجوع الامر"
"Refund","رد"
"Refund #","رد #"
"Refund #%s","رد #%s"
"Shipping Refund","رد الشحن"
"Refund Offline","رد خارج الشبكة"
"Refunds","ردود"
"Message","رسالة"
"Gift Message","رسالة هدية"
"Gift Message for Entire Order","رسالة هدية لكل طلب الشراء"
"Gift Message for this Order","رسالة هدية لطلب الشراء هذا"
"Shipment email not sent","رسالة البريد الالكتروني للشحنه لم ترسل"
"Message:","رسالة:"
"Packingslip # ","زلة التعبئة # "
"Guest","زائر"
"Item","سلعة"
"Gift Certificate","شهادة هدية"
"Ship","شحن"
"Ship to","شحن الى"
"Ship to Name","شحن الى الاسم"
"Ship to First Name","شحن الى الاسم الاول"
"Ship to Last name","شحن الى الاسم الاخير"
"SHIP TO:","شحن الى:"
"Items Shipped","شحن البنود"
"New Shipment","شحن جديد"
"New Shipment for Guest","شحن جديد لزائر"
"Shipment","شحنه"
"Shipment #","شحنه #"
"Shipment #%s","شحنه #%s"
"Shipments","شحنات"
"Purchased From","شراؤها من"
"Purchased from (store)","شراؤها من (المخزن)"
"Logo (200x50)","شعار (200x50)"
"Order","طلب الشراء"
"Order # ","طلب الشراء # "
"Order #","طلب الشراء #"
"Order # %s","طلب الشراء # %s"
"Order #%s","طلب الشراء #%s"
"Order #%s - %s","طلب الشراء #%s - %s"
"This order no longer exists.","طلب الشراء هذا لم يعد موجودا."
"New Order","طلب شراء جديد"
"Print","طباعة"
"Print All Invoices","طباعة كل الفواتير"
"Print Invoices","طباعة الفواتير"
"Print Invoice","طباعة الفاتورة"
"Print All","طباعة الكل"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print Refund","طباعة الاسترداد"
"Print Shipment","طباعة الشحنة"
"Print All Refunds","طباعة جميع الردود"
"Print All Shipments","طباعة جميع الشحنات"
"Print Packingslips","طباعة زلة التعبئة"
"Print Order","طباعة طلب الشراء"
"Print Order # %s","طباعة طلب الشراء # %s"
"Payment Method","طريقة الدفع"
"Shipping Method","طريقة الشحن"
"Shipping Method:","طريقة الشحن:"
"About This Order:","عن هذا الامر:"
"About Your Order","عن امرك"
"Address","عنوان"
"Billing Address","عنوان الفاتورة"
"Shipping Address","عنوان الشحن"
"Items to Invoice","عناصر للفواتير"
"Items to Refund","عناصر للاسترداد"
"Items to Ship","عناصر للشحن"
"Sorry, no quotes are available for this order at this time.","عذرا ، لم يقتبس متوفره لهذا النظام في هذا الوقت."
"Shopping Cart","عربة التسوق"
"View","عرض"
"View All","عرض الكل"
"View Order","عرض طلب الشراء"
"Order View","عرض طلب الشراء"
"Unhold","غير منتظرة"
"Not Capture","غير اسرة"
