"Requests for records:","Solicitudes de Registro:"
"Requests","Solicitudes"
"Request","Solicitud"
"Application of Register","Aplicación de Registro"
"Item does not exist","No hay solicitudes"
"Registered Users","Solicitudes Registradas"
"Province","Provincia"
"Checked","Comprobado"
"Creation Time","Registrado En"
"Save User","Usuario Actualizado"
"Add User","Agregar Usuario"
"Edit User '%s'","Editar Usuario '%s'"
"Information","Información"
"User Information","Información del Usuario"
"Phone","Teléfono"
"Item was successfully saved","Información actualizada"
"Item was successfully deleted","La solicitud fue eliminada"